class,NOSE_x,LEFT_SHOULDER_x,RIGHT_SHOULDER_x,LEFT_ELBOW_x,RIGHT_ELBOW_x,LEFT_WRIST_x,RIGHT_WRIST_x,LEFT_PINKY_x,RIGHT_PINKY_x,LEFT_INDEX_x,RIGHT_INDEX_x,LEFT_THUMB_x,RIGHT_THUMB_x,LEFT_HIP_x,RIGHT_HIP_x,LEFT_KNEE_x,RIGHT_KNEE_x,LEFT_ANKLE_x,RIGHT_ANKLE_x,LEFT_HEEL_x,RIGHT_HEEL_x,LEFT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_x,NOSE_y,LEFT_SHOULDER_y,RIGHT_SHOULDER_y,LEFT_ELBOW_y,RIGHT_ELBOW_y,LEFT_WRIST_y,RIGHT_WRIST_y,LEFT_PINKY_y,RIGHT_PINKY_y,LEFT_INDEX_y,RIGHT_INDEX_y,LEFT_THUMB_y,RIGHT_THUMB_y,LEFT_HIP_y,RIGHT_HIP_y,LEFT_KNEE_y,RIGHT_KNEE_y,LEFT_ANKLE_y,RIGHT_ANKLE_y,LEFT_HEEL_y,RIGHT_HEEL_y,LEFT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_y,NOSE_z,LEFT_SHOULDER_z,RIGHT_SHOULDER_z,LEFT_ELBOW_z,RIGHT_ELBOW_z,LEFT_WRIST_z,RIGHT_WRIST_z,LEFT_PINKY_z,RIGHT_PINKY_z,LEFT_INDEX_z,RIGHT_INDEX_z,LEFT_THUMB_z,RIGHT_THUMB_z,LEFT_HIP_z,RIGHT_HIP_z,LEFT_KNEE_z,RIGHT_KNEE_z,LEFT_ANKLE_z,RIGHT_ANKLE_z,LEFT_HEEL_z,RIGHT_HEEL_z,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_z,NOSE_visibility,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_visibility,LEFT_ELBOW_visibility,RIGHT_ELBOW_visibility,LEFT_WRIST_visibility,RIGHT_WRIST_visibility,LEFT_PINKY_visibility,RIGHT_PINKY_visibility,LEFT_INDEX_visibility,RIGHT_INDEX_visibility,LEFT_THUMB_visibility,RIGHT_THUMB_visibility,LEFT_HIP_visibility,RIGHT_HIP_visibility,LEFT_KNEE_visibility,RIGHT_KNEE_visibility,LEFT_ANKLE_visibility,RIGHT_ANKLE_visibility,LEFT_HEEL_visibility,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_visibility,crouch,hands_distance,hands_visibility,body_direction,head_direction,hands_physical_distance,body_y,crouched_bound_triangle_custom_proportion,crouched_yTorso_custom_proportion
CLASS,-0.026982506737113,0.1882048398256302,-0.1165219321846962,0.20944222807884216,-0.17544202506542206,0.1646312028169632,-0.18565747141838074,0.1627085953950882,-0.19037288427352905,0.11341022700071335,-0.16630779206752777,0.13832306861877441,-0.16917680203914642,0.10333537310361862,-0.1038871482014656,0.04427675902843475,-0.1380818486213684,0.057470567524433136,-0.09562212973833084,0.06416874378919601,-0.09772956371307373,0.047932952642440796,-0.10619422793388367,-0.6367622017860413,-0.48423442244529724,-0.4716961085796356,-0.22248563170433044,-0.19503486156463623,0.0060763293877244,-0.0134987011551857,0.08984098583459854,0.06112637370824814,0.08233555406332016,0.04155873507261276,0.017889225855469704,-0.004454451613128185,0.01257461030036211,-0.013050053268671036,0.3354969322681427,0.28744766116142273,0.6889126896858215,0.5905309319496155,0.7221611738204956,0.6227691769599915,0.7429106831550598,0.6164222359657288,-0.22799362242221832,-0.13958188891410828,-0.012423472478985786,-0.20071984827518463,-0.00042488559847697616,-0.2680964767932892,-0.09445007145404816,-0.30502861738204956,-0.11146335303783417,-0.32288074493408203,-0.14858974516391754,-0.2727382779121399,-0.1132812649011612,-0.04878205433487892,0.049566641449928284,-0.026933077722787857,0.052689459174871445,0.13260804116725922,0.08369296044111252,0.14369019865989685,0.09509582072496414,0.01932283490896225,-0.04628180339932442,0.9998840093612671,0.9999467730522156,0.9998620748519897,0.9954726099967957,0.9588910341262817,0.9643271565437317,0.9082937836647034,0.9230934381484985,0.842988133430481,0.9367839097976685,0.8656004667282104,0.9406272768974304,0.8685579895973206,0.9600619673728943,0.9592062830924988,0.07858019322156906,0.05269411578774452,0.0071090636774897575,0.005298290401697159,0.0062132845632731915,0.012335856445133686,0.0027234565932303667,0.004368954338133335,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5435101101174951,-13.690550918882456,1.0008179670356177,0.9926406079437612
CLASS,-0.026912963017821312,0.18832755088806152,-0.11594203114509583,0.20964300632476807,-0.1757231503725052,0.16451279819011688,-0.1857094019651413,0.16258715093135834,-0.19025583565235138,0.11311104893684387,-0.1661277860403061,0.13813573122024536,-0.16918376088142395,0.10315725207328796,-0.10370614379644394,0.04386814683675766,-0.139086052775383,0.0552491620182991,-0.09901402145624161,0.061967633664608,-0.10219912976026535,0.04588565230369568,-0.11148025840520859,-0.6363118886947632,-0.4819873571395874,-0.47180166840553284,-0.22074833512306213,-0.19580593705177307,0.007937380112707615,-0.01463338639587164,0.09226804226636887,0.06021633744239807,0.08394120633602142,0.0405312143266201,0.019297217950224876,-0.005641280207782984,0.012973475269973278,-0.013389977626502514,0.3355524241924286,0.28747814893722534,0.6889264583587646,0.5899893045425415,0.7221658825874329,0.6221533417701721,0.7436663508415222,0.6156999468803406,-0.2283008098602295,-0.14216947555541992,-0.011967712081968784,-0.20163919031620026,0.0022758967243134975,-0.2681354582309723,-0.08822949230670929,-0.3050565719604492,-0.10492397844791412,-0.32292166352272034,-0.14104662835597992,-0.27278026938438416,-0.1068960502743721,-0.04972745105624199,0.05050395429134369,-0.026912126690149307,0.05214430391788483,0.134142205119133,0.078916996717453,0.14522752165794373,0.09018675237894058,0.02151424065232277,-0.05158757418394089,0.9998832941055298,0.9999474883079529,0.9998648762702942,0.9955554008483887,0.9588403701782227,0.9643629193305969,0.9065240025520325,0.9226994514465332,0.8399494290351868,0.9364195466041565,0.8628396391868591,0.9402123093605042,0.8659997582435608,0.9583199620246887,0.9576072692871094,0.07416979223489761,0.05008407682180405,0.006625113543123007,0.0049966308288276196,0.005893616937100887,0.011850831098854542,0.0025573065504431725,0.004145414102822542,Crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5526989325881004,-14.034857721213454,1.000655020596922,0.9871906160502498
CLASS,-0.026958409696817398,0.18810473382472992,-0.11595167219638824,0.2096555531024933,-0.1757454127073288,0.16454967856407166,-0.18550200760364532,0.16270798444747925,-0.18981650471687317,0.11315631121397018,-0.16537141799926758,0.1381857693195343,-0.1688595712184906,0.10310293734073639,-0.10365252941846848,0.04383634775876999,-0.13911505043506622,0.05529085174202919,-0.0991457998752594,0.062042318284511566,-0.1023418977856636,0.046234358102083206,-0.11262881755828857,-0.6367551684379578,-0.48197799921035767,-0.47181937098503113,-0.2207515686750412,-0.19580647349357605,0.00861024484038353,-0.014698518440127373,0.09307779371738434,0.05998489260673523,0.08535169064998627,0.04045020043849945,0.02025972679257393,-0.005687035154551268,0.01300179585814476,-0.013412853702902794,0.33544719219207764,0.28892090916633606,0.6887236833572388,0.5929858088493347,0.7219859957695007,0.6252201795578003,0.7432082295417786,0.6190117597579956,-0.22844135761260986,-0.1428392380475998,-0.012040593661367893,-0.2028902918100357,0.0017995450180023909,-0.2683669626712799,-0.08898408710956573,-0.3050108551979065,-0.10552562773227692,-0.3228920102119446,-0.1415262520313263,-0.27295249700546265,-0.10750944167375565,-0.05005304887890816,0.05082070454955101,-0.026675758883357048,0.05451008677482605,0.134384423494339,0.08115927875041962,0.14543387293815613,0.09244020283222198,0.022919852286577225,-0.045852962881326675,0.999884307384491,0.9999473690986633,0.9998669028282166,0.9955306649208069,0.9587158560752869,0.9641408920288086,0.9068703055381775,0.9222797751426697,0.8405837416648865,0.9360294342041016,0.863327145576477,0.9399281740188599,0.8663893342018127,0.9580446481704712,0.9576328992843628,0.07219542562961578,0.04897957295179367,0.0063245100900530815,0.004879538901150227,0.00579263549298048,0.01174066960811615,0.002484489930793643,0.004079538397490978,Crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.552743325009942,-14.118297461487288,1.0006383752421302,0.9871227089102041
CLASS,-0.025787625461816788,0.18895792961120605,-0.1151857003569603,0.21277134120464325,-0.17580105364322662,0.16963203251361847,-0.18533898890018463,0.167598694562912,-0.18964649736881256,0.11721797287464142,-0.1644425243139267,0.14274148643016815,-0.16842424869537354,0.10313838720321655,-0.10369662195444107,0.04492846503853798,-0.13911636173725128,0.05743424966931343,-0.09868480265140533,0.0645870491862297,-0.10147411376237869,0.050576530396938324,-0.11256807297468185,-0.6366403698921204,-0.4820796549320221,-0.47165730595588684,-0.220769464969635,-0.1938585638999939,0.008458824828267097,-0.012606526724994183,0.09257291257381439,0.06185111030936241,0.08489727973937988,0.0421954020857811,0.020070284605026245,-0.003714524442330003,0.013007592409849167,-0.0134056955575943,0.33528125286102295,0.2902604937553406,0.6888355016708374,0.6006131172180176,0.7221299409866333,0.6330313086509705,0.7432011365890503,0.6285125613212585,-0.2286052107810974,-0.14165057241916656,-0.012195362709462643,-0.2021075189113617,0.0016636870568618178,-0.26482659578323364,-0.0892384797334671,-0.2987940311431885,-0.10559330135583878,-0.31763067841529846,-0.14194688200950623,-0.2691343426704407,-0.10771199315786362,-0.050024036318063736,0.05079062655568123,-0.027456417679786682,0.05480457842350006,0.12851779162883759,0.081056609749794,0.1388186663389206,0.09225290268659592,0.017770951613783836,-0.04610228165984154,0.9998900294303894,0.9999488592147827,0.9998717308044434,0.9954801797866821,0.9590665102005005,0.9641814827919006,0.9092721343040466,0.9226588606834412,0.8441911935806274,0.9363943934440613,0.8664029240608215,0.940322995185852,0.8691079616546631,0.9584003686904907,0.9583005309104919,0.07137194275856018,0.0489310584962368,0.00611149100586772,0.004897816106677055,0.005763372406363487,0.011743367649614811,0.0024665510281920433,0.0041211508214473724,Crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5516244890168309,-14.044567072582584,1.0007868734719516,0.9873519462748762
CLASS,-0.025639517232775688,0.18870796263217926,-0.11833085119724274,0.2127370834350586,-0.17943744361400604,0.16959960758686066,-0.18552060425281525,0.16757555305957794,-0.1897801160812378,0.11721481382846832,-0.1641141027212143,0.1427120864391327,-0.1684204638004303,0.10330218076705933,-0.10387472063302994,0.04671846702694893,-0.13932086527347565,0.06140037998557091,-0.09785322099924088,0.06912811845541,-0.10030547529459,0.05846565589308739,-0.10820432007312775,-0.6376739144325256,-0.4843292236328125,-0.47162753343582153,-0.22350262105464935,-0.19325216114521027,0.0021392800845205784,-0.012482978403568268,0.08617247641086578,0.062095366418361664,0.0766020342707634,0.042230911552906036,0.01273452676832676,-0.003613021457567811,0.012927714735269547,-0.013313621282577515,0.3349689245223999,0.2879568934440613,0.6890334486961365,0.5989623069763184,0.7224248647689819,0.6313361525535583,0.7465079426765442,0.6279097199440002,-0.22898243367671967,-0.13407102227210999,-0.015244119800627232,-0.1953105479478836,-0.0047067878767848015,-0.26207247376441956,-0.09670311212539673,-0.2946707606315613,-0.1153617724776268,-0.31528300046920776,-0.15231411159038544,-0.2668406665325165,-0.11527944356203079,-0.04887279123067856,0.04967310652136803,-0.028122656047344208,0.040289510041475296,0.1234494149684906,0.044906631112098694,0.1337505429983139,0.054725658148527145,0.013359812088310719,-0.08357807248830795,0.9998927712440491,0.9999493360519409,0.9998748302459717,0.9953548312187195,0.960068941116333,0.9634436368942261,0.9101196527481079,0.9214012622833252,0.8453435301780701,0.9354574084281921,0.867424488067627,0.9395766854286194,0.8701764941215515,0.9576824903488159,0.9580172896385193,0.06846216320991516,0.04708394035696983,0.005774813238531351,0.004717601463198662,0.0055552888661623,0.011341421864926815,0.002364423358812928,0.003990440629422665,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5351118319667876,-12.867015984293728,1.001012755820276,0.9922850681251495
CLASS,-0.02524241805076599,0.188700869679451,-0.11837417632341385,0.21271629631519318,-0.17949017882347107,0.17109350860118866,-0.1855776011943817,0.16916434466838837,-0.19007804989814758,0.11874841153621674,-0.16409103572368622,0.14413730800151825,-0.16841140389442444,0.10337311029434204,-0.10395240038633347,0.04779782518744469,-0.13924261927604675,0.06240740790963173,-0.09725838154554367,0.07026050239801407,-0.09944697469472885,0.06173262372612953,-0.1082831472158432,-0.6380046606063843,-0.4844323694705963,-0.4706652760505676,-0.22353745996952057,-0.19130656123161316,0.002120387740433216,-0.010562470182776451,0.08607474714517593,0.06440911442041397,0.07688695192337036,0.04460214078426361,0.012942809611558914,-0.0015660662902519107,0.012780135497450829,-0.013145394623279572,0.335069477558136,0.28848519921302795,0.6896302103996277,0.6014686822891235,0.723009467124939,0.6339412927627563,0.7472413182258606,0.6294631361961365,-0.2294970452785492,-0.13375887274742126,-0.01863221824169159,-0.1955844759941101,-0.009851169772446156,-0.2621239125728607,-0.10310008376836777,-0.2945477068424225,-0.1209731251001358,-0.3152247667312622,-0.1590215265750885,-0.26688602566719055,-0.12166154384613037,-0.04809829592704773,0.04891064763069153,-0.029399890452623367,0.04250241816043854,0.12118151038885117,0.055278681218624115,0.13138626515865326,0.06560839712619781,0.009812181815505028,-0.07186828553676605,0.9998948574066162,0.9999493360519409,0.9998764395713806,0.9952115416526794,0.96019047498703,0.9630710482597351,0.9111971855163574,0.921112060546875,0.8470167517662048,0.9352747797966003,0.8688459992408752,0.9394898414611816,0.871554970741272,0.9579750895500183,0.9586628079414368,0.06773931533098221,0.046606868505477905,0.005569854751229286,0.004689926281571388,0.005493578966706991,0.011297428980469704,0.0023207205813378096,0.003961269278079271,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.528377796523273,-12.467103049688228,1.0014159024859257,0.9928567665474745
CLASS,-0.025130439549684525,0.18832102417945862,-0.1189330667257309,0.21234552562236786,-0.17953349649906158,0.17092739045619965,-0.18542510271072388,0.16889674961566925,-0.18991811573505402,0.11839816719293594,-0.16390633583068848,0.14398351311683655,-0.16815531253814697,0.1033950224518776,-0.10397228598594666,0.04782887548208237,-0.13806964457035065,0.06255336105823517,-0.09541665762662888,0.07037392258644104,-0.09773854166269302,0.06101861596107483,-0.10741166770458221,-0.6383333802223206,-0.4844059348106384,-0.470097154378891,-0.22371003031730652,-0.19101816415786743,0.0011428802972659469,-0.010547170415520668,0.08558093756437302,0.06461694836616516,0.07689237594604492,0.045028217136859894,0.012472973205149174,-0.0014869767474010587,0.012721486389636993,-0.01307359617203474,0.3355710804462433,0.2883298099040985,0.6915826201438904,0.6005505919456482,0.7250423431396484,0.6330349445343018,0.7480452656745911,0.6278784275054932,-0.2318950742483139,-0.1352311372756958,-0.022706156596541405,-0.19690535962581635,-0.01467081904411316,-0.26541078090667725,-0.1090053915977478,-0.29874685406684875,-0.1272238940000534,-0.3198002576828003,-0.1655672788619995,-0.27046459913253784,-0.12786129117012024,-0.047666747123003006,0.04850710928440094,-0.030192095786333084,0.043079923838377,0.1197003647685051,0.05721978098154068,0.1301405280828476,0.06762688606977463,0.009331916458904743,-0.0690491646528244,0.99989914894104,0.9999502301216125,0.9998780488967896,0.9952066540718079,0.9605816602706909,0.9635835289955139,0.9113039374351501,0.9220483899116516,0.8469094038009644,0.93611079454422,0.868756890296936,0.9403201937675476,0.8715494275093079,0.9573065042495728,0.9578530788421631,0.06704259663820267,0.0455753430724144,0.005390326492488384,0.004614455159753561,0.005432280711829662,0.01118755154311657,0.002265788381919265,0.003904702141880989,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5244479331886396,-12.146862157552572,1.0015920069760125,0.992952334109362
CLASS,-0.02386423386633396,0.18802693486213684,-0.11908237636089325,0.21177946031093597,-0.17840145528316498,0.17092379927635193,-0.1844247728586197,0.16892223060131073,-0.18926633894443512,0.11872751265764236,-0.1633102148771286,0.14414267241954803,-0.1671488881111145,0.10339083522558212,-0.10396717488765717,0.047923389822244644,-0.13205347955226898,0.06253477931022644,-0.0919337123632431,0.07030768692493439,-0.09480153024196625,0.059243135154247284,-0.10737133026123047,-0.6399221420288086,-0.4847787618637085,-0.4700002074241638,-0.22491970658302307,-0.1910344660282135,-0.0008986098691821098,-0.010365957394242287,0.08382683247327805,0.06510743498802185,0.07636629790067673,0.04639144986867905,0.01136733591556549,-0.0010016849264502525,0.012546412646770477,-0.012891877442598343,0.337480366230011,0.28960034251213074,0.6936036944389343,0.6013012528419495,0.727203369140625,0.6339263319969177,0.7485336065292358,0.6277851462364197,-0.23283888399600983,-0.13499385118484497,-0.026714490726590157,-0.1964333951473236,-0.020424816757440567,-0.26561835408210754,-0.11608763784170151,-0.2989875376224518,-0.13440285623073578,-0.32034000754356384,-0.17254643142223358,-0.2708776295185089,-0.134863942861557,-0.04657668247818947,0.04747185856103897,-0.030196662992239,0.045752763748168945,0.11880318075418472,0.06790589541196823,0.1292707771062851,0.07837904244661331,0.009149182587862015,-0.05716392397880554,0.9999013543128967,0.9999496340751648,0.9998770952224731,0.9950185418128967,0.9598518013954163,0.9628974199295044,0.9090865850448608,0.9209499955177307,0.8437718749046326,0.9352156519889832,0.8659277558326721,0.939596951007843,0.8689512014389038,0.9569817781448364,0.9574775695800781,0.06752994656562805,0.04489017650485039,0.0053025283850729465,0.004653208423405886,0.00548650324344635,0.011376811191439629,0.002247987315058708,0.0039366548880934715,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5143466359004378,-11.711172811536178,1.0018899595850794,0.9941205915870915
CLASS,-0.023557700216770172,0.18783095479011536,-0.11894477158784866,0.21105758845806122,-0.17667798697948456,0.17057175934314728,-0.1839088797569275,0.16854800283908844,-0.18896988034248352,0.1184617131948471,-0.1631675511598587,0.14391398429870605,-0.16674625873565674,0.10335810482501984,-0.10393096506595612,0.04748596251010895,-0.13004642724990845,0.06194385886192322,-0.09087903797626495,0.06951002031564713,-0.0939132571220398,0.05782319977879524,-0.1086222231388092,-0.6406335234642029,-0.4848365783691406,-0.4699917137622833,-0.22527223825454712,-0.19134074449539185,-0.0008849681471474469,-0.010448556393384933,0.08380653709173203,0.06499454379081726,0.07644826918840408,0.04643155634403229,0.011492153629660606,-0.0010141640668734908,0.012467834167182446,-0.01281047984957695,0.33842039108276367,0.2923949062824249,0.6936236023902893,0.6053981781005859,0.7272263169288635,0.6384267210960388,0.748075008392334,0.6304789781570435,-0.23285338282585144,-0.13504017889499664,-0.02650783397257328,-0.19647465646266937,-0.019590383395552635,-0.2653741240501404,-0.11497949808835983,-0.29862838983535767,-0.13296619057655334,-0.31985071301460266,-0.17098434269428253,-0.27063480019569397,-0.13367852568626404,-0.046426206827163696,0.04733068123459816,-0.029402755200862885,0.0585092194378376,0.1193903386592865,0.09471677988767624,0.12986508011817932,0.10604381561279297,0.010510211810469627,-0.026849325746297836,0.9999032020568848,0.9999486207962036,0.9998773336410522,0.9948409199714661,0.9589662551879883,0.9622460603713989,0.9082367420196533,0.9200495481491089,0.8428027629852295,0.9344227910041809,0.8649862408638,0.9389143586158752,0.8680213093757629,0.9574230909347534,0.958149790763855,0.06950965523719788,0.04522061347961426,0.005333451088517904,0.004803453106433153,0.005693294573575258,0.011818375438451767,0.002296696649864316,0.004068893846124411,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5144388533080928,-11.72128586800923,1.0019465456101389,0.9944138728934403
CLASS,-0.0235374104231596,0.1871560961008072,-0.11924267560243607,0.20981255173683167,-0.17640048265457153,0.16978690028190613,-0.18378198146820068,0.16790208220481873,-0.18889553844928741,0.11815281957387924,-0.1631397306919098,0.14337456226348877,-0.16666443645954132,0.10334713011980057,-0.10391755402088165,0.04721225053071976,-0.13012786209583282,0.0611279271543026,-0.0909356102347374,0.06844497472047806,-0.09394478797912598,0.05616149306297302,-0.11047443747520447,-0.6416016221046448,-0.48527446389198303,-0.4700191617012024,-0.22618509829044342,-0.19180256128311157,-0.001067204400897026,-0.010977327823638916,0.08361692726612091,0.06430359929800034,0.07656498998403549,0.0461774542927742,0.011546728201210499,-0.0013691368512809277,0.012391726486384869,-0.01272803358733654,0.3386213481426239,0.2945515513420105,0.6935991644859314,0.6075814366340637,0.7272108197212219,0.6407238245010376,0.7480385899543762,0.6336120963096619,-0.23273462057113647,-0.13473820686340332,-0.026246564462780952,-0.19642184674739838,-0.01903829537332058,-0.26533403992652893,-0.11423651874065399,-0.29856035113334656,-0.13204464316368103,-0.319715678691864,-0.16993574798107147,-0.2705981433391571,-0.13287128508090973,-0.04630887880921364,0.047214530408382416,-0.02841312810778618,0.060278866440057755,0.12076827138662338,0.09578907489776611,0.13135550916194916,0.10697050392627716,0.0135280666872859,-0.026127062737941742,0.9999032020568848,0.9999467134475708,0.9998754858970642,0.9946609735488892,0.9582411050796509,0.9615358710289001,0.9074920415878296,0.9190025329589844,0.8420255780220032,0.933505654335022,0.8642462491989136,0.938148558139801,0.8673220276832581,0.9577212929725647,0.9587375521659851,0.07133018225431442,0.04594872146844864,0.005395444575697184,0.005029738415032625,0.0058848741464316845,0.012317168526351452,0.002359868958592415,0.0042567006312310696,Not crouched,Hands not touching,Hands visible,Looking Forward,Body Right,0.5145765263587236,-11.766755948021004,1.0020261838845104,0.9955100519971309
