NOSE_x,LEFT_SHOULDER_x,RIGHT_SHOULDER_x,LEFT_ELBOW_x,RIGHT_ELBOW_x,LEFT_WRIST_x,RIGHT_WRIST_x,LEFT_PINKY_x,RIGHT_PINKY_x,LEFT_INDEX_x,RIGHT_INDEX_x,LEFT_THUMB_x,RIGHT_THUMB_x,LEFT_HIP_x,RIGHT_HIP_x,LEFT_KNEE_x,RIGHT_KNEE_x,LEFT_ANKLE_x,RIGHT_ANKLE_x,LEFT_HEEL_x,RIGHT_HEEL_x,LEFT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_x,NOSE_y,LEFT_SHOULDER_y,RIGHT_SHOULDER_y,LEFT_ELBOW_y,RIGHT_ELBOW_y,LEFT_WRIST_y,RIGHT_WRIST_y,LEFT_PINKY_y,RIGHT_PINKY_y,LEFT_INDEX_y,RIGHT_INDEX_y,LEFT_THUMB_y,RIGHT_THUMB_y,LEFT_HIP_y,RIGHT_HIP_y,LEFT_KNEE_y,RIGHT_KNEE_y,LEFT_ANKLE_y,RIGHT_ANKLE_y,LEFT_HEEL_y,RIGHT_HEEL_y,LEFT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_y,NOSE_z,LEFT_SHOULDER_z,RIGHT_SHOULDER_z,LEFT_ELBOW_z,RIGHT_ELBOW_z,LEFT_WRIST_z,RIGHT_WRIST_z,LEFT_PINKY_z,RIGHT_PINKY_z,LEFT_INDEX_z,RIGHT_INDEX_z,LEFT_THUMB_z,RIGHT_THUMB_z,LEFT_HIP_z,RIGHT_HIP_z,LEFT_KNEE_z,RIGHT_KNEE_z,LEFT_ANKLE_z,RIGHT_ANKLE_z,LEFT_HEEL_z,RIGHT_HEEL_z,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_z,NOSE_x_v,LEFT_SHOULDER_x_v,RIGHT_SHOULDER_x_v,LEFT_ELBOW_x_v,RIGHT_ELBOW_x_v,LEFT_WRIST_x_v,RIGHT_WRIST_x_v,LEFT_PINKY_x_v,RIGHT_PINKY_x_v,LEFT_INDEX_x_v,RIGHT_INDEX_x_v,LEFT_THUMB_x_v,RIGHT_THUMB_x_v,LEFT_HIP_x_v,RIGHT_HIP_x_v,LEFT_KNEE_x_v,RIGHT_KNEE_x_v,LEFT_ANKLE_x_v,RIGHT_ANKLE_x_v,LEFT_HEEL_x_v,RIGHT_HEEL_x_v,LEFT_FOOT_INDEX_x_v,RIGHT_FOOT_INDEX_x_v,NOSE_y_v,LEFT_SHOULDER_y_v,RIGHT_SHOULDER_y_v,LEFT_ELBOW_y_v,RIGHT_ELBOW_y_v,LEFT_WRIST_y_v,RIGHT_WRIST_y_v,LEFT_PINKY_y_v,RIGHT_PINKY_y_v,LEFT_INDEX_y_v,RIGHT_INDEX_y_v,LEFT_THUMB_y_v,RIGHT_THUMB_y_v,LEFT_HIP_y_v,RIGHT_HIP_y_v,LEFT_KNEE_y_v,RIGHT_KNEE_y_v,LEFT_ANKLE_y_v,RIGHT_ANKLE_y_v,LEFT_HEEL_y_v,RIGHT_HEEL_y_v,LEFT_FOOT_INDEX_y_v,RIGHT_FOOT_INDEX_y_v,NOSE_z_v,LEFT_SHOULDER_z_v,RIGHT_SHOULDER_z_v,LEFT_ELBOW_z_v,RIGHT_ELBOW_z_v,LEFT_WRIST_z_v,RIGHT_WRIST_z_v,LEFT_PINKY_z_v,RIGHT_PINKY_z_v,LEFT_INDEX_z_v,RIGHT_INDEX_z_v,LEFT_THUMB_z_v,RIGHT_THUMB_z_v,LEFT_HIP_z_v,RIGHT_HIP_z_v,LEFT_KNEE_z_v,RIGHT_KNEE_z_v,LEFT_ANKLE_z_v,RIGHT_ANKLE_z_v,LEFT_HEEL_z_v,RIGHT_HEEL_z_v,LEFT_FOOT_INDEX_z_v,RIGHT_FOOT_INDEX_z_v,kinetic_Energy_NOSE,kinetic_Energy_LEFT_SHOULDER,kinetic_Energy_RIGHT_SHOULDER,kinetic_Energy_LEFT_ELBOW,kinetic_Energy_RIGHT_ELBOW,kinetic_Energy_LEFT_WRIST,kinetic_Energy_RIGHT_WRIST,kinetic_Energy_LEFT_PINKY,kinetic_Energy_RIGHT_PINKY,kinetic_Energy_LEFT_INDEX,kinetic_Energy_RIGHT_INDEX,kinetic_Energy_LEFT_THUMB,kinetic_Energy_RIGHT_THUMB,kinetic_Energy_LEFT_HIP,kinetic_Energy_RIGHT_HIP,kinetic_Energy_LEFT_KNEE,kinetic_Energy_RIGHT_KNEE,kinetic_Energy_LEFT_ANKLE,kinetic_Energy_RIGHT_ANKLE,kinetic_Energy_LEFT_HEEL,kinetic_Energy_RIGHT_HEEL,kinetic_Energy_LEFT_FOOT_INDEX,kinetic_Energy_RIGHT_FOOT_INDEX,NOSE_acceleration,LEFT_SHOULDER_acceleration,RIGHT_SHOULDER_acceleration,LEFT_ELBOW_acceleration,RIGHT_ELBOW_acceleration,LEFT_WRIST_acceleration,RIGHT_WRIST_acceleration,LEFT_PINKY_acceleration,RIGHT_PINKY_acceleration,LEFT_INDEX_acceleration,RIGHT_INDEX_acceleration,LEFT_THUMB_acceleration,RIGHT_THUMB_acceleration,LEFT_HIP_acceleration,RIGHT_HIP_acceleration,LEFT_KNEE_acceleration,RIGHT_KNEE_acceleration,LEFT_ANKLE_acceleration,RIGHT_ANKLE_acceleration,LEFT_HEEL_acceleration,RIGHT_HEEL_acceleration,LEFT_FOOT_INDEX_acceleration,RIGHT_FOOT_INDEX_acceleration
CLASSE,0.5456717014312744,0.8364545702934265,0.32708072662353516,0.9535452723503113,0.1985628753900528,0.9523974657058716,0.18279579281806946,0.9958600997924805,0.13901111483573914,0.9252387881278992,0.19820651412010193,0.898777186870575,0.22486920654773712,0.7456618547439575,0.41705116629600525,0.720091700553894,0.4165370464324951,0.7190037369728088,0.42802315950393677,0.73101407289505,0.42782989144325256,0.6525964736938477,0.4692152142524719,0.41839930415153503,0.7745872139930725,0.7872893214225769,1.2596551179885864,1.2698389291763306,1.6406339406967163,1.5949599742889404,1.7617137432098389,1.7070995569229126,1.7720178365707397,1.7070642709732056,1.7228891849517822,1.6626166105270386,1.6360564231872559,1.6399104595184326,2.3436427116394043,2.3451452255249023,2.9732961654663086,2.962230920791626,3.080627202987671,3.068206548690796,3.165916681289673,3.1598358154296875,-0.900959312915802,-0.356758177280426,-0.40490490198135376,-0.4219575822353363,-0.46788376569747925,-0.7704766392707825,-0.9908739924430847,-0.898639976978302,-1.132776141166687,-0.9521621465682983,-1.218366026878357,-0.818381667137146,-1.0531007051467896,-0.04758569225668907,0.05478180572390556,-0.027402471750974655,0.08075790107250214,0.6260855793952942,0.5008641481399536,0.6580687761306763,0.524713397026062,0.05983599275350571,-0.11535298824310303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLASSE,0.5459155968099185,0.8376191773281741,0.3267689746784351,0.9551341000356167,0.1973402207819178,0.955852203386364,0.1824654877431867,1.0003714501181131,0.13787442591844815,0.9303371465243052,0.19846579740044987,0.9033382433486797,0.22561012992733398,0.745783593078885,0.41741373132379916,0.721822010658843,0.4194717410302138,0.7224548027857415,0.43357838350429867,0.7344364715188406,0.43346855727142575,0.6576472172058037,0.4763819646663094,0.4197170534493142,0.775306226237762,0.7874763387767644,1.2608083753516923,1.2714860625065267,1.6403658856302352,1.6134447673772028,1.7599326688315722,1.7298170869441478,1.770854408034845,1.7337184922983035,1.7221427347637925,1.6874817089399674,1.638590869027641,1.6426141327256636,2.3475020495238565,2.3494956104624984,2.9784738668101247,2.967526380245654,3.0871202960472,3.0741121296543064,3.170919027613903,3.1652424596288493,-0.8933774342969966,-0.35302277913526603,-0.40822982274464903,-0.40395108120606277,-0.45354530061484594,-0.7428761778478165,-0.9510403847546767,-0.8685956538892257,-1.0913575304551015,-0.9243670262173357,-1.1782197632410707,-0.7917047967851724,-1.0130853000932187,-0.04420153848188702,0.05146104660581016,-0.03033596395358247,0.0548806035558628,0.6100993635607697,0.44542843097257667,0.6404100325577524,0.46561111545169076,0.04377064423758625,-0.17169494003439992,0.0034531261406687275,0.0037494313483135144,0.003805312455869514,0.00015417501038317294,0.010744565257839261,0.014610751002442357,0.016834029964372527,0.01650422227148851,0.0235344814319238,0.013515042323691162,0.016902773403654175,0.011286670086430028,0.014765201830396646,0.001180637116525829,0.004530085068122747,0.009296489696877241,0.004360564783508103,0.010083493064432125,0.0032804421350071666,0.009830778720332112,0.002342448515050888,0.01184932390848814,0.0026356192196120842,0.013452289151210606,0.0035686656540506734,0.009106463077020899,0.018935825310500087,0.003432199066761399,0.02595209607890947,0.08872573048460652,0.016262601403627786,0.10910946715111769,0.0224606429829306,0.13620009141809808,0.021639431224148797,0.12593065523633507,0.008311865376490646,0.0031204691120214623,0.004849985534067791,0.004645674836399216,0.00651573667339056,0.0019792762457147006,0.011652993220908847,0.006263312171484792,0.004760190552353993,0.0012127558390266913,0.056538969862695354,0.003702640533446877,0.010402672431048088,0.02245007192387316,0.14579829047707998,0.08731147588468102,0.41643775911892233,0.10487632424223747,0.45846034498775823,0.10733702603508533,0.4520221037023213,0.08883953328226113,0.4189032573325977,0.002342115868540301,0.002640615783485678,0.017754536852532754,0.03236261857490927,0.03547636434143764,0.08636480452967654,0.033306528540219316,0.09044446197210598,0.004168941420229055,0.034745540615974624,0.0026970388553667554,6.072832791661747e-05,0.00027178174193159805,0.0008627888010497914,0.012796009079400362,0.008175921237010638,0.1362407052175208,0.009472818084299265,0.17470214293891712,0.01026926661605573,0.18308811376563053,0.007413434883898511,0.1565755844182569,7.002909588184839e-05,5.295408961015898e-05,0.0005088372859750979,0.0008556912141714218,0.0013559337493539464,0.004197526599279061,0.001500988513424353,0.004905473304363245,0.00021587211440081096,0.0007447451635495849,0.0215,0.0002,0.0026,0.00992,0.09724,0.0325,0.1662,0.05773,0.17137,0.04933,0.12768,0.03693,0.11812,0.00851,0.0006,0.01127,0.01782,0.02113,0.05567,0.01288,0.05214,0.00422,0.02271
CLASSE,0.5459924597836566,0.8378657192789648,0.3263018213989072,0.9555842826429095,0.19674377960310052,0.9561688560160946,0.17970228708540095,1.0010182339297127,0.1340782221408734,0.9308335707066513,0.19471733323003565,0.9037252590354232,0.22233648294345404,0.745637849692416,0.41709327304984883,0.720766819461277,0.41818607481807,0.7208645748996585,0.4317450155013033,0.7328271059030932,0.43151330130677595,0.6557607996487662,0.474712950444964,0.4208661757723015,0.775609402149845,0.7879522570725433,1.2622652309214293,1.2716330082727862,1.6418592066725182,1.6143958109552472,1.7612577560190685,1.7300682695577885,1.7724928752411941,1.7334825559470899,1.7239006684718452,1.687533960731449,1.639475884553638,1.6429259588482064,2.3491773091689465,2.3505843164476037,2.980378836351745,2.9689742205522625,3.0893154120840385,3.0755351660341765,3.1727507160146002,3.1674120286655425,-0.8911036769201697,-0.3519865167363129,-0.40604548343057406,-0.4045359717723501,-0.45233037812544935,-0.7441387845505528,-0.9661510503480963,-0.869478193497691,-1.1073409686183802,-0.9243395437216178,-1.1959191185090892,-0.7925961487339421,-1.0292436906362663,-0.04384757325519979,0.05111182972644982,-0.030369527926519854,0.058196381811799494,0.6075868267783744,0.4545310330052256,0.6370936033106719,0.47553876883807206,0.03730454988409473,-0.16300589046593938,0.0033620113971295496,0.004677818329948291,0.004025257162757978,0.0023593378871717974,0.011022302180353272,0.01586030603200428,0.017929507200671824,0.018668625803872407,0.026004530223045857,0.016227528819226733,0.019132413027507233,0.013867189720202733,0.016179069566399834,0.0008474188497049617,0.004235580960655683,0.008055315254773765,0.0024444921770904737,0.008246036230928677,0.00093868570394956,0.00811327726023403,0.00015817456780126138,0.009085884903585084,0.0008660490696795198,0.01504644070037503,0.003868340845280094,0.00865849044409317,0.01665440294931031,0.0026869645052436386,0.02178636659858113,0.09343543144144362,0.01211569866890394,0.11372473261174298,0.01865871897856719,0.14045830212358368,0.018395332938976328,0.13042672920956155,0.01010932375562068,0.005341838214199646,0.008347766571467297,0.008255745191818598,0.011440247718816465,0.007014085025954575,0.01759434953410466,0.011495993175419272,0.009557752742981762,0.006551920054187477,0.05957025347790568,0.0002171636416545275,0.00839808123551522,0.03488319589018851,0.1532489471022202,0.09952144696471932,0.4101957532578415,0.1179981516306805,0.4508881771969029,0.12015280865120648,0.4425048842019379,0.10095077681062403,0.4115756632366576,0.0016432556781708768,0.0013139133229612548,0.010407908923925305,0.04652462942923896,0.030538383927176116,0.09994026068556267,0.02872873190603953,0.10407947845553994,0.0010525346939704167,0.052574962883208856,0.0030403392616082593,3.839791339645033e-05,0.00022222175366941525,0.0014524398942593682,0.013937522575609223,0.00940754651665591,0.13601277766758088,0.011068112597737854,0.17441448023479447,0.012018554512298166,0.1812595553801415,0.00887289157781572,0.1557832722672724,7.937997837205762e-05,5.931056178899781e-05,0.0003594146125027532,0.0016373426900328926,0.001261258631673523,0.005820453114009453,0.0014816585742781216,0.006697138431229933,0.00019396960243407257,0.0017995759454028132,0.03802,0.00169,0.0052,0.00529,0.1787,0.07184,0.28579,0.11782,0.29513,0.10261,0.21656,0.07932,0.20016,0.01812,0.00287,0.00997,0.03491,0.02679,0.09964,0.01116,0.09326,0.00265,0.04383
CLASSE,0.5460188115946817,0.8379944934459906,0.32579451368691564,0.9563886435356982,0.19593180991200626,0.9586480431918947,0.1776813709758558,1.0043829544461824,0.13170379343238103,0.9339543456774139,0.19222272242660593,0.906576538744317,0.21995475172875986,0.7460893714299235,0.41715125934756414,0.7207787774762756,0.41738938762856265,0.7208235404171438,0.43069085225925713,0.732876347124466,0.4303790198100752,0.6558061260996202,0.47413606514736045,0.4214479695288233,0.7759392210814542,0.7885150518881145,1.2630885739092836,1.271842971142977,1.6429332216652655,1.6132491130246867,1.7622986618956797,1.7277565364024048,1.7736835832334163,1.7307439783534453,1.7251635469807085,1.6852387143072391,1.6399748943761985,1.643231171171972,2.350170907111091,2.3514305396035438,2.981418433618774,2.969978035381095,3.0904453573928334,3.076493821840576,3.1737811033028853,3.168925552289907,-0.8903605549007851,-0.3514316146112465,-0.40442573983774577,-0.40855792554833026,-0.4607982581958917,-0.756166025772919,-0.9960124890413962,-0.8818480946288638,-1.138212031987802,-0.9365246178549833,-1.225762216428437,-0.8045884288252145,-1.0590282865756595,-0.04382856602505499,0.05108993707702624,-0.03060971537109048,0.06233755781366183,0.6059357808591536,0.4621669043715608,0.6347345087024797,0.4834062982972525,0.033003284763286345,-0.15647436847314786,0.003202161578418461,0.005287375840406727,0.004308830471402847,0.004676850356158835,0.011360237058425121,0.018166129251451668,0.018864074095557293,0.02215233979604514,0.02769937875699191,0.020064664434766177,0.020916264359882863,0.017498609182425073,0.017490117891009432,0.0001831459929825252,0.0040611291819165896,0.0065220490669509745,0.0010485243977971237,0.006099880735147889,0.0007497727304559554,0.005988916104981978,0.0013732760996174043,0.00603755848585108,0.003700596594941985,0.015934179131806725,0.0041429665192500575,0.008352527376925045,0.014589163323387444,0.001942986377793554,0.01831789196634892,0.09359106723816923,0.008932792760256492,0.1126920287446973,0.015582539762824865,0.13835121311893528,0.01576679583265772,0.12897615913263616,0.011305810069030642,0.007039135206432068,0.01098625005945042,0.011079933181035617,0.015055261061859948,0.010956614657567698,0.021807040017929324,0.015456503471089622,0.013139975648987612,0.010864904816429544,0.060200179726419445,0.003278374251217797,0.006214012213654585,0.04082244377315891,0.14851858765481007,0.09799690039787201,0.37848394177586253,0.11633563297736793,0.4167138427350925,0.11801888058675614,0.4084056969316996,0.09921052125122098,0.3794200209384573,0.004562000631113103,0.004220773152051827,0.004661984435651183,0.05438365556398273,0.02633120787097587,0.1054814242053278,0.025086447530694445,0.10968360691464579,0.004127773371745868,0.06322571798686749,0.0031471417374970656,8.075573894775976e-05,0.0001781397974883922,0.0018053113595227809,0.013093149272390298,0.009042559139300339,0.120510591662242,0.010866441055266587,0.15518312992069358,0.011806632806475087,0.16112641647265702,0.008774935520057578,0.13827819919214282,0.0001288166053823075,0.00011736709565718045,0.00024576073661090935,0.002211930597361343,0.0011274767023950081,0.006866491593019419,0.0013982743080914472,0.008002818479996126,0.00027156867898823334,0.0030257369077324793,0.04987,0.00115,0.00802,0.00734,0.23941,0.10711,0.35768,0.1693,0.37063,0.14866,0.26679,0.11656,0.24524,0.0256,0.006,0.00323,0.04858,0.0226,0.13177,0.00365,0.12412,0.01258,0.06317
CLASSE,0.546016093727796,0.8380007064812546,0.32531479419044496,0.9573521499854812,0.19533861656454726,0.9612050964569167,0.1764566855633199,1.0077007826593756,0.13044660095013763,0.9368102583990647,0.19069741747921048,0.9090544222234409,0.2185875923705928,0.7464050976246919,0.41707970247523923,0.7208068569253884,0.4167304769609112,0.7207938546674176,0.4299346498256853,0.7328992554471624,0.42971146966888324,0.6558196470847936,0.4735147657693809,0.42146041926106087,0.7761592866869376,0.7891147445101278,1.2637123822249214,1.2721895113665924,1.6442307131726888,1.6119829876994423,1.7637035714175564,1.7255659699981833,1.7749009813397136,1.7270054845184601,1.7266682429140874,1.6820994048985154,1.640503373586737,1.6436363277011068,2.3517852767075427,2.352786827410648,2.9834292971831204,2.971499715600038,3.0924536784359926,3.077752521818807,3.1756978331307826,3.171171007141768,-0.8906219729209429,-0.3499520838508936,-0.40361039371162777,-0.40902944698912025,-0.46960598962073447,-0.7576662183117608,-1.0199878453687612,-0.8836990868025878,-1.1642053877058975,-0.9388720984020393,-1.2513776486861312,-0.806254778312084,-1.0830230164693804,-0.04317228469981742,0.05044366728317357,-0.03191852115323379,0.060255421349893104,0.5973218196872982,0.4484965492280717,0.6245481489843515,0.46797076731265397,0.01908358174554178,-0.17566696459881764,0.0029894593754868914,0.005586843175514167,0.004599832192452857,0.0067803367041824325,0.011497778031819561,0.020525577322021205,0.01932138528521435,0.025575191952555643,0.02842591245186271,0.023553312224837364,0.02203415989634705,0.02070546331041745,0.018249839635040677,0.00040863650776545857,0.0037538751032371587,0.005165047751048868,0.00015701044479388138,0.0043054497178184326,0.0018409234555953335,0.004206675715798025,0.002422360431752424,0.0035481164882606997,0.005534515852784139,0.016032717596950852,0.004300627741800955,0.00816025467209014,0.012815652864471394,0.0011388383372161748,0.015784960011542948,0.09088528974847021,0.006940760387621037,0.10832707857825685,0.013318004855360499,0.13153118348567316,0.014030648917386035,0.12318025267609944,0.012167999197609802,0.008367923007711386,0.013599819868184593,0.013694298080050071,0.018599948371271324,0.014502756805707229,0.02561326147240317,0.018726904609686734,0.016639512463339834,0.015057110256526673,0.05875750080734454,0.0064602056562005905,0.004344222460609948,0.04546414908158214,0.1376789183993315,0.0975461987638303,0.33749978239623846,0.11519019150184118,0.3717539385885753,0.1160351163880522,0.3636257794123965,0.09842820432068533,0.3380296942740657,0.007179499740152327,0.006829004424563405,0.001010893745163506,0.062112397632584984,0.02826842314594702,0.12001933546949883,0.028408598330671442,0.1255608442176087,0.002436493352498948,0.08644776949530125,0.003024839137763379,0.0001336232646761372,0.00014627869874525698,0.002116410820593964,0.01129737999635011,0.008958812899323753,0.10022053601222572,0.010908552464339435,0.12928964873511611,0.01169018869799019,0.1337433287486747,0.008866367600913066,0.11494084347616555,0.00019515244387101577,0.00017956645836998306,0.0001955403687707879,0.0028852423265861033,0.0013093799898977504,0.009297436029599395,0.0016952811743363061,0.010761928079400882,0.00025592545501542584,0.005728716105700323,0.05785,0.00147,0.01095,0.02314,0.28047,0.13863,0.39144,0.21284,0.40693,0.18788,0.28708,0.14891,0.2622,0.03065,0.00864,0.0145,0.0601,0.01626,0.16185,0.01338,0.15437,0.02751,0.08858
CLASSE,0.5460461153677256,0.8380722700556944,0.32567353906619195,0.963062262844529,0.19516099221820107,0.9711215857348208,0.1758159346778704,1.0193417717312994,0.12992778066674787,0.9475236191071904,0.18993518546661364,0.9187281094597841,0.21796954688282982,0.747985212417242,0.41839310950150616,0.7227793934505709,0.41825478243940345,0.7231220249766049,0.4319673466949357,0.7356251002023191,0.4319303075809706,0.6574089113880804,0.47442928308418675,0.4198597041198099,0.7762776086236288,0.7901130255943276,1.2608536099623033,1.2719599338082053,1.6426163685350692,1.6103986613220649,1.7620214525522286,1.7237976106503086,1.7737883785727333,1.7235417975137775,1.7264416454219844,1.6792309043248401,1.6407394793432573,1.643774727146887,2.3530105226131237,2.3540915510673157,2.9849160890563575,2.972599688342231,3.093910778859409,3.0784003852476656,3.176873060145014,3.1732851828822626,-0.8990067796722709,-0.35580362532533055,-0.4037469317852691,-0.4266790804504688,-0.4892487811417461,-0.7736220025918684,-1.066697319221464,-0.9003956996854564,-1.2159968056749657,-0.9548400256706364,-1.3029543308667755,-0.8218854012187433,-1.1301514820580294,-0.04427458753107632,0.05152569383641552,-0.05047885331740639,0.06822760688839362,0.5670004205143525,0.4455640374746182,0.5918980433009294,0.4621266805871599,-0.026503376939537644,-0.18514124320642505,0.002775821633901998,0.005731890677605711,0.004275942633742036,0.01213956460874821,0.011245762348582933,0.02831131678248322,0.01924625751421513,0.03507039959299707,0.02823345435424196,0.032621774706442896,0.022385920567318363,0.02898685723723371,0.018366780548789652,0.0019177207315953515,0.0044268730000185386,0.002537386247373874,0.0018984149861290267,0.0010772375183307759,0.004413383706327656,0.0007132026428143812,0.005055347976767655,0.000367567049488593,0.007710114341347329,0.014522454213499514,0.004327369622607935,0.008343514484517756,0.008791918173784108,0.0007843110848835266,0.01179150594605538,0.08584742672004064,0.0034919366529844176,0.10177360726344697,0.00999271118085332,0.12180443799295948,0.011652275764598263,0.11467786470516739,0.012523952075827127,0.009146944569197402,0.015622513815561678,0.01586523331181855,0.021272313640098517,0.01716113570718969,0.02829440436222841,0.020826183333571446,0.01912660021149648,0.018698522328673306,0.0500695890100753,0.0038825865811099036,0.0031864997704702525,0.034974922178308776,0.1144652746421696,0.08348271783981898,0.2714062939643931,0.09973311711752564,0.29869414144620454,0.10062814920626817,0.29092988466786784,0.08438794291765095,0.27130582562791017,0.007969506220369744,0.007639038371006393,0.011508865481898382,0.05988759988392241,0.048573639576227956,0.12564818907807113,0.05095428988821615,0.133628343511069,0.03641541093274603,0.1025037973310465,0.0022692146077276294,9.71875472311356e-05,0.00012491413658419638,0.001562763057822779,0.008000536542388161,0.0076366929187865785,0.07087611679179154,0.009562816210508987,0.09189236075421481,0.010259226254274022,0.09466481303346033,0.007815884856488074,0.08174965165119387,0.000251130472707877,0.00022499262857031296,0.0004401178244771626,0.003014858172101183,0.002515049491992286,0.010837262947799619,0.003196952477384087,0.012721700082770642,0.0015629404669004663,0.008309207820039745,0.06076,0.0018,0.01437,0.03727,0.29966,0.16424,0.38758,0.24748,0.40269,0.21872,0.27463,0.17354,0.24906,0.03368,0.01071,0.0227,0.06623,0.01783,0.1873,0.01394,0.18211,0.02254,0.11513
CLASSE,0.5460446089458996,0.8379721432289629,0.32626381579325175,0.9684381239280101,0.1950960149384713,0.9799001181955866,0.17532772030360902,1.028867166490497,0.12964862339586875,0.9567873138724247,0.18942245767228771,0.9273209648837891,0.21750826623297842,0.7500604451957772,0.42036991354103354,0.7254883457074257,0.4203072149570695,0.7282394575292211,0.4365082121637121,0.7412273006304196,0.436801510716835,0.663220408528623,0.4785738283646702,0.4168881670625272,0.7743140929261562,0.7908454259959121,1.258032650495948,1.2717577076023412,1.640063745983455,1.6068806789278298,1.7583136810241164,1.7182186870119143,1.7701025619809123,1.7154930410186902,1.7241736427664034,1.6728080138679087,1.6394357270871889,1.6428326676240055,2.352634170126108,2.3542993133477785,2.985040382170353,2.972581217691159,3.0939720122493344,3.077827465036249,3.1758133613343826,3.1733606202716267,-0.9062098039719129,-0.3600624738738657,-0.40397474152145796,-0.43908156489610467,-0.5043836395254243,-0.7824223936424543,-1.0980993626378388,-0.9101022154589863,-1.2516941455911232,-0.9648848983465754,-1.3391780840308063,-0.8309299845992081,-1.1624168689537688,-0.04519733825966595,0.05243808898266158,-0.06602737335749347,0.06609470042253321,0.5436663532514056,0.4313604502192065,0.5673519736454324,0.4465145232918683,-0.05721862374102302,-0.2053222564320542,0.002531725855605571,0.005603840179652431,0.003609513537776554,0.017955620015902785,0.010762468029410943,0.03664895535039325,0.018855111351045978,0.04450732866695328,0.02741974981939152,0.041921987912561076,0.022222236570604237,0.03763719367106977,0.01813303812742048,0.004019233097703245,0.005843849586130601,0.0008674143946529878,0.0044238779625278,0.004419344852070739,0.008946160956335769,0.005199079337180779,0.009799041597487346,0.005850989954814145,0.011955746743349649,0.011359124646272256,0.0027410685598024953,0.008473560797541135,0.004387751715937194,0.0005615687935427438,0.0070986337749976425,0.0778114248357844,0.0014132865031990516,0.09071387969186273,0.00483948852866134,0.10657211462873772,0.007929652123503717,0.10156166550176127,0.011439711785109719,0.008774344889559194,0.016087249485028376,0.016844381946510723,0.02237930386060638,0.018387949506927903,0.029200048509509635,0.021279852983110192,0.019373019551527815,0.020357571813208075,0.03975248553540456,0.0006971492683949254,0.002338199115453965,0.023036869001405946,0.08945455214940645,0.06968685081658099,0.2069721405182705,0.08405395295553375,0.2268242033990775,0.08445764573161751,0.21906317459682212,0.07029184164568414,0.20589444310625393,0.008085331074342367,0.00777892592266291,0.024334867200231217,0.061102052190762784,0.0696926658520417,0.1364360028410722,0.07382162460362629,0.14612107253705126,0.06847437891673255,0.12402786260255039,0.0014388037506043996,4.087940650866081e-05,0.00010398656397096569,0.0010296831245036762,0.005078161997629955,0.006433686082474414,0.0460982229956124,0.008446694179729307,0.05949795324309619,0.008609229011905346,0.060502429126514476,0.006711617727689655,0.05300414623595454,0.0002771664651733413,0.0002508155010691534,0.0008524126883995335,0.0033924341577093366,0.00465528689321376,0.013410325005857506,0.005855865630456364,0.015699914173247908,0.004389693996540672,0.012221282463112531,0.06148,0.00195,0.01814,0.04977,0.30407,0.1872,0.36772,0.27457,0.38187,0.24587,0.25211,0.19475,0.22702,0.03387,0.01094,0.02229,0.07252,0.03023,0.2157,0.00254,0.2142,0.01192,0.14968
