NOSE_x,NOSE_y,NOSE_x_v,NOSE_y_v,kinetic_Energy_NOSE
0.5163034200668335,0.628755509853363,0.00036650896072387695,0.0001537799835205078,1.5797710162246403e-07
0.5160749554634094,0.6288081407546997,0.0005550980567932129,0.00016415119171142578,3.3507946639588226e-07
0.5157951712608337,0.6287986040115356,0.0008037686347961426,0.0002548098564147949,7.109720812081832e-07
0.5156939625740051,0.6288068890571594,0.0009267330169677734,0.00027191638946533203,9.327726075980536e-07
0.5156244039535522,0.6288042664527893,0.001028895378112793,0.00024890899658203125,1.1205813876813409e-06
0.5155177712440491,0.6288050413131714,0.001201033592224121,0.0002751946449279785,1.5182137822478126e-06
0.5154358744621277,0.6288025975227356,0.0012877583503723145,0.00023609399795532227,1.7140619448241523e-06
0.5153189301490784,0.6287519335746765,0.0014049410820007324,7.671117782592773e-05,1.97974404869683e-06
0.515295147895813,0.6285426616668701,0.001401066780090332,0.00018447637557983398,1.9970196554197628e-06
0.5152747631072998,0.6285661458969116,0.0013086795806884766,0.00024449825286865234,1.7724216405667903e-06
0.5151265859603882,0.6285650730133057,0.0014218688011169434,0.00024020671844482422,2.079410155175765e-06
0.5150065422058105,0.6285479664802551,0.001488327980041504,0.0002034902572631836,2.25652846097546e-06
0.5150259137153625,0.6287189722061157,0.0014609694480895996,6.377696990966797e-05,2.138499230142088e-06
0.5151910781860352,0.6290968060493469,0.0012736320495605469,0.00039762258529663086,1.7802423180057758e-06
0.5159274339675903,0.6295719146728516,0.00048601627349853516,0.0008413791656494141,9.441307184943071e-07
0.5170053839683533,0.6306738257408142,0.0006506443023681641,0.001933455467224121,4.161588051942999e-06
0.5174892544746399,0.6309822797775269,0.0011858344078063965,0.0022267699241638184,6.364707537898084e-06
